sep=,
time (zdroj1),
0,638
0.489,638
1.039,638
1.588,638
2.136,638
2.635,639
3.182,638
3.725,636
4.234,639
4.853,638
5.298,638
5.853,639
6.404,638
6.906,638
7.452,637
8.009,639
8.508,639
9.07,637
9.571,639
10.149,638
10.648,638
11.203,638
11.707,640
12.262,639
12.806,637
13.313,645
13.867,656
14.427,659
14.933,661
15.444,662
16.003,662
16.588,661
17.09,664
17.586,662
18.129,662
18.69,663
19.19,663
19.741,663
20.294,662
20.808,665
21.37,663
21.87,663
22.422,664
22.926,664
23.489,664
23.988,663
24.568,665
25.071,664
25.635,663
26.143,665
26.705,663
27.229,664
27.722,664
28.299,665
28.803,664
29.367,663
29.86,666
30.415,665
30.981,665
31.482,665
32.036,665
32.537,665
33.095,663
33.595,667
34.146,665
34.697,665
35.2,666
35.76,665
36.313,665
36.822,663
37.409,667
37.913,666
38.424,666
38.986,667
39.491,667
40.075,667
40.583,667
41.075,669
41.63,672
42.139,6
42.144,76
42.704,682
43.26,684
43.768,686
44.324,688
44.827,688
45.395,688
45.902,687
46.455,690
46.977,688
47.518,688
48.031,689
48.582,689
49.095,689
49.643,689
50.198,690
50.682,689
51.25,689
51.802,690
52.302,689
52.862,689
53.362,691
53.914,694
54.465,692
54.976,691
55.528,693
56.075,623
56.584,625
57.127,581
57.625,653
58.18,624
58.698,635
59.258,705
59.808,703
60.308,673
60.863,569
61.386,725
61.942,664
62.441,597
62.988,316
63.542,673
64.037,768
64.603,823
65.11,447
65.66,791
66.199,781
66.702,784
67.287,780
67.8,770
68.354,764
68.853,759
69.408,755
69.933,752
70.498,749
70.988,747
71.547,744
72.07,744
72.629,742
73.13,740
73.695,739
74.198,738
74.761,737
75.281,736
75.8,736
76.36,735
76.894,733
77.392,734
77.947,733
78.459,731
79.018,732
79.574,731
80.078,730
80.592,729
81.147,731
81.708,729
82.216,728
82.772,729
83.274,728
83.823,728
84.377,728
84.874,728
85.44,727
85.942,726
86.512,728
87.017,726
87.542,726
88.085,726
88.636,726
89.187,725
89.715,725
90.214,725
90.785,724
91.29,723
91.842,725
92.339,724
92.894,724
93.411,724
93.963,723
94.472,723
95.027,723
95.583,723
96.079,722
96.633,721
97.194,723
97.693,722
98.248,722
98.756,722
99.313,722
